,word,score
831,complain,0.469
832,huff,0.469
833,simmer,0.469
834,selfish,0.469
835,backoff,0.469
836,incite,0.469
837,angermanagement,0.469
838,perpetrator,0.469
839,disobey,0.469
840,disruption,0.469
841,smother,0.469
842,injury,0.469
843,selfishness,0.469
844,insanity,0.469
845,stifled,0.469
846,thump,0.469
847,dislike,0.469
848,areyoukidding,0.468
849,mug,0.467
850,agony,0.465
851,arrogant,0.461
852,elimination,0.456
853,picketing,0.456
854,haughty,0.456
855,sux,0.456
856,vent,0.456
857,grated,0.455
858,clamor,0.455
859,constraint,0.455
860,stubbed,0.455
861,impermeable,0.455
862,illegality,0.455
863,dying,0.455
864,flagrant,0.455
865,idiocy,0.455
866,busted,0.455
867,crabby,0.455
868,illicit,0.455
869,veto,0.455
870,troublesome,0.455
871,mislead,0.455
872,bad,0.453
873,despotism,0.453
874,struggle,0.453
875,usurped,0.453
876,disagreeing,0.453
877,hysterical,0.453
878,desist,0.453
879,godless,0.453
880,suppress,0.453
881,disapproving,0.453
882,displeased,0.453
883,bayonet,0.453
884,intense,0.453
885,unlawful,0.451
886,wrongly,0.448
887,repellent,0.442
888,psychosis,0.441
889,foe,0.441
890,wrongful,0.441
891,dishonor,0.441
892,wasted,0.441
893,aversion,0.440
894,schism,0.439
895,gahhh,0.439
896,punitive,0.439
897,knuckles,0.439
898,upset,0.439
899,effigy,0.439
900,ultimatum,0.439
901,deleterious,0.438
902,mucked,0.438
903,irritation,0.438
904,worthless,0.438
905,ransom,0.438
906,separatist,0.438
907,fugitive,0.438
908,deny,0.438
909,abandonment,0.438
910,stupidity,0.438
911,oblivion,0.437
912,segregate,0.437
913,payback,0.436
914,eviction,0.435
915,incongruous,0.435
916,collusion,0.432
917,rob,0.431
918,infidelity,0.429
919,ravenous,0.429
920,overrun,0.429
921,incredulous,0.426
922,stupidrain,0.426
923,martial,0.426
924,painful,0.426
925,harbinger,0.426
926,getoverit,0.426
927,rejection,0.426
928,defense,0.425
929,unsympathetic,0.424
930,banger,0.424
931,gonorrhea,0.424
932,fallacious,0.424
933,indecency,0.424
934,exasperation,0.424
935,fuss,0.424
936,concealment,0.424
937,powerful,0.424
938,fraudulent,0.424
939,defraud,0.424
940,enforce,0.424
941,censor,0.424
942,greed,0.424
943,disobedience,0.424
944,commotion,0.424
945,discontent,0.424
946,penitentiary,0.422
947,nettle,0.422
948,duel,0.422
949,banishment,0.422
950,barb,0.422
951,deportation,0.422
952,sarcasm,0.422
953,penetration,0.422
954,bang,0.422
955,scar,0.422
956,cracked,0.422
957,sedition,0.422
958,annoyance,0.422
959,cur,0.422
960,snubbed,0.422
961,misrepresented,0.422
962,blatant,0.420
963,force,0.418
964,perverse,0.415
965,wring,0.415
966,grim,0.413
967,bastion,0.413
968,sordid,0.412
969,nothappy,0.412
970,moody,0.412
971,tiff,0.412
972,surly,0.412
973,hunting,0.411
974,indenture,0.410
975,areyoukiddingme,0.409
976,reproach,0.409
977,compulsion,0.409
978,sham,0.409
979,cantwin,0.409
980,supremacy,0.409
981,disappoint,0.409
982,squelch,0.409
983,forfeit,0.409
984,awful,0.409
985,detainee,0.409
986,implicate,0.409
987,blockade,0.409
988,sneak,0.409
989,contradict,0.409
990,inept,0.409
991,lying,0.408
992,antipathy,0.406
993,delusion,0.406
994,unthinkable,0.406
995,wop,0.406
996,tremor,0.406
997,onerous,0.406
998,forsaken,0.406
999,inequality,0.406
1000,badger,0.406
1001,cacophony,0.406
1002,wrongdoing,0.406
